trainno,trainKnd,upbdnbSe,wkndSe,lineNm,brlnNm,stnCd,stnNo,stnNm,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,trainDptreTm,trainArvlTm,etrnYn,lnkgTrainno,tmprTmtblYn,vldBgngDt,vldEndDt,crtrYmd
2036,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,08:04:42,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:47:00,,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:53:20,07:52:52,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:57:57,07:57:29,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:00:10,07:59:42,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:03:03,08:02:35,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:07:09,08:06:41,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:09:50,08:09:22,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:13:40,08:13:12,N,,N,2025-05-01T05:00:00,,20250619
2040,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,08:16:42,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:53:00,,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:59:20,07:58:52,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:03:57,08:03:29,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:06:10,08:05:42,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:09:03,08:08:35,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:13:09,08:12:41,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:15:50,08:15:22,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:19:40,08:19:12,N,,N,2025-05-01T05:00:00,,20250619
2042,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,08:22:42,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:05:00,,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:11:20,08:10:52,N,,N,2025-05-01T05:00:00,,20250619
